Freq (GHz)	del S21 (fW)
3.168020e+00	7.470662e+00
3.168332e+00	7.185058e+00
3.168645e+00	6.834136e+00
3.168957e+00	6.605062e+00
3.169269e+00	6.267864e+00
3.169582e+00	6.206783e+00
3.169894e+00	6.034854e+00
3.170206e+00	5.951028e+00
3.170518e+00	5.641475e+00
3.170831e+00	5.508373e+00
3.171143e+00	5.500764e+00
3.171455e+00	5.340878e+00
3.171768e+00	5.247046e+00
3.172080e+00	5.240432e+00
3.172392e+00	5.043099e+00
3.172705e+00	5.109149e+00
3.173017e+00	5.086387e+00
3.173329e+00	5.108791e+00
3.173641e+00	4.932922e+00
3.173954e+00	4.923595e+00
3.174266e+00	4.861771e+00
3.174578e+00	4.696116e+00
3.174891e+00	4.955703e+00
3.175203e+00	4.686386e+00
3.175515e+00	4.705177e+00
3.175828e+00	4.562428e+00
3.176140e+00	4.687617e+00
3.176452e+00	4.639059e+00
3.176765e+00	4.597054e+00
3.177077e+00	4.674667e+00
3.177389e+00	4.682451e+00
3.177701e+00	4.676118e+00
3.178014e+00	4.726358e+00
3.178326e+00	4.605886e+00
3.178638e+00	4.461821e+00
3.178951e+00	4.625054e+00
3.179263e+00	4.418305e+00
3.179575e+00	4.630091e+00
3.179888e+00	4.403737e+00
3.180200e+00	4.401555e+00
3.180512e+00	4.209751e+00
3.180824e+00	4.554670e+00
3.181137e+00	4.405848e+00
3.181449e+00	4.204274e+00
3.181761e+00	4.377484e+00
3.182074e+00	4.252486e+00
3.182386e+00	4.157693e+00
3.182698e+00	4.199362e+00
3.183011e+00	4.052565e+00
3.183323e+00	4.067926e+00
3.183635e+00	4.266109e+00
3.183948e+00	4.115630e+00
3.184260e+00	4.130960e+00
3.184572e+00	4.203171e+00
3.184884e+00	3.859840e+00
3.185197e+00	4.088546e+00
3.185509e+00	3.983887e+00
3.185821e+00	3.833953e+00
3.186134e+00	3.720399e+00
3.186446e+00	3.987436e+00
3.186758e+00	3.855567e+00
3.187071e+00	3.900360e+00
3.187383e+00	4.182409e+00
3.187695e+00	3.822145e+00
3.188007e+00	3.883974e+00
3.188320e+00	3.850744e+00
3.188632e+00	3.964148e+00
3.188944e+00	3.966249e+00
3.189257e+00	3.873563e+00
3.189569e+00	3.925813e+00
3.189881e+00	3.904673e+00
3.190194e+00	3.794211e+00
3.190506e+00	3.933201e+00
3.190818e+00	3.882958e+00
3.191131e+00	3.873439e+00
3.191443e+00	3.689361e+00
3.191755e+00	3.772436e+00
3.192067e+00	3.710469e+00
3.192380e+00	3.933497e+00
3.192692e+00	3.772584e+00
3.193004e+00	3.871093e+00
3.193317e+00	3.993561e+00
3.193629e+00	3.761488e+00
3.193941e+00	3.934164e+00
3.194254e+00	3.883803e+00
3.194566e+00	3.808695e+00
3.194878e+00	3.621898e+00
3.195191e+00	3.899956e+00
3.195503e+00	3.889399e+00
3.195815e+00	4.044852e+00
3.196127e+00	4.072607e+00
3.196440e+00	3.999628e+00
3.196752e+00	3.933765e+00
3.197064e+00	3.849982e+00
3.197377e+00	4.020455e+00
3.197689e+00	4.136338e+00
3.198001e+00	4.056471e+00
3.198314e+00	4.073821e+00
3.198626e+00	3.959374e+00
3.198938e+00	4.039400e+00
3.199250e+00	4.136064e+00
3.199563e+00	4.141752e+00
3.199875e+00	4.094328e+00
3.200187e+00	4.152480e+00
3.200500e+00	4.094019e+00
3.200812e+00	4.174760e+00
3.201124e+00	4.197821e+00
3.201437e+00	4.224307e+00
3.201749e+00	4.255053e+00
3.202061e+00	4.126568e+00
3.202374e+00	4.247216e+00
3.202686e+00	4.310220e+00
3.202998e+00	4.024852e+00
3.203310e+00	4.193100e+00
3.203623e+00	4.118515e+00
3.203935e+00	4.220639e+00
3.204247e+00	4.392655e+00
3.204560e+00	4.235648e+00
3.204872e+00	4.311105e+00
3.205184e+00	4.251393e+00
3.205497e+00	4.417283e+00
3.205809e+00	4.484100e+00
3.206121e+00	4.208430e+00
3.206433e+00	4.410790e+00
3.206746e+00	4.400402e+00
3.207058e+00	4.651298e+00
3.207370e+00	4.610985e+00
3.207683e+00	4.408223e+00
3.207995e+00	4.582497e+00
3.208307e+00	4.650744e+00
3.208620e+00	4.430539e+00
3.208932e+00	4.692007e+00
3.209244e+00	4.638407e+00
3.209557e+00	4.618539e+00
3.209869e+00	4.820039e+00
3.210181e+00	4.687360e+00
3.210493e+00	4.569001e+00
3.210806e+00	4.834044e+00
3.211118e+00	4.827456e+00
3.211430e+00	4.938108e+00
3.211743e+00	4.730316e+00
3.212055e+00	4.644386e+00
3.212367e+00	4.898228e+00
3.212680e+00	4.941569e+00
3.212992e+00	5.092748e+00
3.213304e+00	5.184759e+00
3.213616e+00	5.197256e+00
3.213929e+00	5.009059e+00
3.214241e+00	5.051890e+00
3.214553e+00	4.979104e+00
3.214866e+00	5.181391e+00
3.215178e+00	5.140975e+00
3.215490e+00	5.208573e+00
3.215803e+00	5.176659e+00
3.216115e+00	5.372941e+00
3.216427e+00	5.350393e+00
3.216740e+00	5.478255e+00
3.217052e+00	5.440976e+00
3.217364e+00	5.434391e+00
3.217676e+00	5.554451e+00
3.217989e+00	5.529858e+00
3.218301e+00	5.467373e+00
3.218613e+00	5.632926e+00
3.218926e+00	5.666798e+00
3.219238e+00	5.713041e+00
3.219550e+00	5.652352e+00
3.219863e+00	5.651721e+00
3.220175e+00	5.700497e+00
3.220487e+00	5.741380e+00
3.220800e+00	5.723713e+00
3.221112e+00	5.714570e+00
3.221424e+00	5.921614e+00
3.221736e+00	6.052639e+00
3.222049e+00	6.092728e+00
3.222361e+00	5.974933e+00
3.222673e+00	6.172351e+00
3.222986e+00	6.163295e+00
3.223298e+00	6.170642e+00
3.223610e+00	6.111647e+00
3.223923e+00	6.244939e+00
3.224235e+00	5.899907e+00
3.224547e+00	6.245870e+00
3.224859e+00	6.223360e+00
3.225172e+00	6.189595e+00
3.225484e+00	6.303785e+00
3.225796e+00	6.331390e+00
3.226109e+00	6.146062e+00
3.226421e+00	6.173266e+00
3.226733e+00	6.385901e+00
3.227046e+00	6.238317e+00
3.227358e+00	6.276412e+00
3.227670e+00	6.349617e+00
3.227983e+00	6.533507e+00
3.228295e+00	6.663961e+00
3.228607e+00	6.510698e+00
3.228919e+00	6.420411e+00
3.229232e+00	6.478763e+00
3.229544e+00	6.472572e+00
3.229856e+00	6.462365e+00
3.230169e+00	6.714425e+00
3.230481e+00	6.739029e+00
3.230793e+00	6.741133e+00
3.231106e+00	6.719138e+00
3.231418e+00	6.637098e+00
3.231730e+00	6.801198e+00
3.232042e+00	6.707126e+00
3.232355e+00	6.906617e+00
3.232667e+00	6.956241e+00
3.232979e+00	6.869868e+00
3.233292e+00	6.919857e+00
3.233604e+00	6.922208e+00
3.233916e+00	7.138997e+00
3.234229e+00	7.034470e+00
3.234541e+00	7.012743e+00
3.234853e+00	7.077130e+00
3.235166e+00	7.166412e+00
3.235478e+00	6.929036e+00
3.235790e+00	7.225547e+00
3.236102e+00	7.262023e+00
3.236415e+00	7.276645e+00
3.236727e+00	7.253872e+00
3.237039e+00	7.174673e+00
3.237352e+00	7.347049e+00
3.237664e+00	7.168979e+00
3.237976e+00	7.444463e+00
3.238289e+00	7.222170e+00
3.238601e+00	7.357956e+00
3.238913e+00	7.409095e+00
3.239225e+00	7.341795e+00
3.239538e+00	7.419395e+00
3.239850e+00	7.374359e+00
3.240162e+00	7.608338e+00
3.240475e+00	7.464738e+00
3.240787e+00	7.635994e+00
3.241099e+00	7.577269e+00
3.241412e+00	7.593296e+00
3.241724e+00	7.649773e+00
3.242036e+00	7.769983e+00
3.242349e+00	7.817708e+00
3.242661e+00	7.975413e+00
3.242973e+00	7.968314e+00
3.243285e+00	7.770800e+00
3.243598e+00	7.970517e+00
3.243910e+00	7.908473e+00
3.244222e+00	7.935126e+00
3.244535e+00	8.133577e+00
3.244847e+00	8.227547e+00
3.245159e+00	8.289828e+00
3.245472e+00	8.315880e+00
3.245784e+00	8.402717e+00
3.246096e+00	8.326500e+00
3.246408e+00	8.429013e+00
3.246721e+00	8.589889e+00
